index,sequence,robotz,exposure,blur
0232,2,1204,120,328
0233,0,844,120,294
0233,1,1024,120,294
0233,2,1217,120,269
0233,3,1402,120,264
0234,0,807,120,218
0234,1,1035,120,271
0234,2,1224,120,304
0235,0,848,120,277
0235,1,1027,120,225
0235,2,1219,120,240
0235,3,1413,120,250
0236,0,834,120,218
0236,1,1016,120,234
0236,2,1212,120,190
0236,3,1416,120,236
0237,0,820,120,215
0237,1,1004,120,263
0237,2,1229,120,297
0238,0,808,120,276
0238,1,1036,120,281
0238,2,1224,120,327
0238,3,1409,120,203
0239,0,837,120,321
0239,1,1018,120,304
0239,2,1213,120,246
0239,3,1402,120,173
0239,4,1655,120,263
0240,0,801,125,289
0240,1,1030,125,253
0240,2,1221,125,223
0240,3,1415,125,276
0241,0,838,125,289
0241,1,1019,125,288
0241,2,1214,125,278
0241,3,1402,125,181
0242,0,825,125,227
0242,1,1009,125,178
0242,2,1207,125,233
0242,3,1424,125,257
0243,0,815,125,240
0243,1,1040,125,230
0243,2,1202,125,276
0243,3,1408,125,329
0244,0,814,125,194
0244,1,1040,125,170
0244,2,1202,125,235
0244,3,1416,125,236
0244,4,1610,125,213
0245,0,843,125,274
0245,1,1023,125,239
0245,2,1216,125,264
0245,3,1402,125,295
0245,4,1619,125,307
0246,0,835,125,245
0246,1,1017,125,212
0246,2,1212,125,237
0246,3,1413,125,558
0247,0,847,125,249
0247,1,1026,125,229
0247,2,1218,125,258
0247,3,1431,125,186
0247,4,1627,125,189
0248,0,809,125,239
0248,1,1036,125,210
0248,2,1225,125,204
0248,3,1407,125,659
0249,0,811,125,218
0249,1,1037,125,203
0249,2,1225,125,196
0249,3,1411,125,188
0250,0,845,130,205
0250,1,1025,130,189
0250,2,1217,130,220
0250,3,1401,130,539
0251,0,875,130,223
0251,1,1009,130,182
0251,2,1208,130,162
0251,3,1424,130,279
0252,0,838,130,236
0252,1,1019,130,207
0252,2,1214,130,205
0252,3,1402,130,225
0253,0,817,130,244
0253,1,1002,130,243
0253,2,1203,130,293
0253,3,1405,130,281
0254,0,835,130,225
0254,1,1017,130,208
0254,2,1212,130,178
0254,3,1455,130,246
0255,0,801,130,249
0255,1,1030,130,245
0255,2,1221,130,238
0255,3,1413,130,228
0256,0,821,130,263
0256,1,1006,130,271
0256,2,1206,130,321
0256,3,1421,130,312
0257,0,815,130,257
0257,1,1040,130,254
0257,2,1202,130,273
0257,3,1405,130,266
0258,0,810,130,174
0258,1,1037,130,155
0258,2,1225,130,224
0258,3,1409,130,206
0258,4,1601,130,295
0259,0,840,130,188
0259,1,1021,130,140
0259,2,1215,130,137
0259,3,1402,130,214
0259,4,1625,130,212
0260,0,825,135,255
0260,1,1009,135,219
0260,2,1208,135,268
0260,3,1418,135,240
0261,0,824,135,270
0261,1,1047,135,204
0261,2,1207,135,287
0261,3,1406,135,228
0262,0,815,135,243
0262,1,1001,135,200
0262,2,1202,135,164
0262,3,1401,135,210
0263,0,821,135,247
0263,1,1045,135,219
0263,2,1205,135,240
0263,3,1409,135,263
0264,0,836,135,238
0264,1,1017,135,222
0264,2,1236,135,239
0264,3,1451,135,139
0265,0,804,135,239
0265,1,1032,135,167
0265,2,1222,135,233
0265,3,1406,135,255
0266,0,844,135,260
0266,1,1024,135,281
0266,2,1217,135,351
0266,3,1416,135,312
0267,0,847,135,233
0267,1,1026,135,188
0267,2,1218,135,165
0267,3,1417,135,213
0268,0,820,135,261
0268,1,1005,135,230
0268,2,1205,135,240
0268,3,1415,135,279
0269,0,817,135,204
0269,1,1002,135,147
0269,2,1203,135,1830
0269,3,1403,135,221
0270,0,838,140,300
0270,1,1019,140,245
0270,2,1214,140,212
0270,3,1423,140,306
0271,0,822,140,227
0271,1,1006,140,226
0271,2,1206,140,241
0271,3,1416,140,213
0271,4,1610,140,160
0272,0,826,140,239
0272,1,1009,140,227
0272,2,1208,140,253
0272,3,1421,140,267
0273,0,830,140,266
0273,1,1013,140,203
0273,2,1210,140,154
0273,3,1424,140,241
0273,4,1618,140,215
0274,0,819,140,234
0274,1,1004,140,227
0274,2,1205,140,334
0274,3,1418,140,234
0275,0,836,140,192
0275,1,1017,140,153
0275,2,1213,140,174
0275,3,1424,140,165
0275,4,1611,140,167
0276,0,814,140,193
0276,1,1040,140,218
0276,2,1202,140,254
0276,3,1406,140,178
0277,0,848,140,238
0277,1,1027,140,204
0277,2,1219,140,213
0277,3,1421,140,221
0278,0,848,140,186
0278,1,1027,140,288
0278,2,1219,140,516
0278,3,1402,140,203
0279,0,816,140,157
0279,1,1001,140,167
0279,2,1203,140,114
0279,3,1410,140,195
0280,0,828,145,206
0280,1,1011,145,199
0280,2,1209,145,206
0280,3,1403,145,232
0281,0,811,145,180
0281,1,1037,145,213
0281,2,1225,145,196
0281,3,1409,145,219
0281,4,1601,145,145
0282,0,839,145,219
