index,exposure,result
1,16,5087.55
2,16,3893.84
3,16,3879.84
4,16,7167.1
5,16,4553.57
6,16,5562.55
7,16,6058.66
8,16,6196.97
9,16,6283.26
10,16,8652.62
11,16,7293.76
12,16,8654.36
13,16,8319.1
14,16,13698.1
15,16,12339.1
16,16,9507.47
17,16,7708.52
18,16,7575.48
19,16,6698.59
0,16,5359.03
1,16,5637.07
2,16,5699.87
3,16,5689.27
4,16,6138.7
5,16,9241.03
6,16,9703
7,16,12347.9
8,16,19168.3
9,16,19108.9
10,16,24016
11,16,28246.1
12,16,35180.1
13,16,38009.9
14,16,37499.9
15,16,47051.5
16,16,53270.1
17,16,46685.9
18,16,48639.2
19,16,51983.5
0,16,5150.78
1,16,6494.71
2,16,5732.58
3,16,4890.3
4,16,4185.64
5,16,6306.12
6,16,5922.28
7,16,7571.78
8,16,11126.3
9,16,19916.1
10,16,24679
11,16,26155.4
12,16,35660.8
13,16,27729.1
14,16,28253.4
15,16,34675.9
16,16,32021.5
17,16,33096.6
18,16,31890
19,16,23283.5
0,16,12650.2
1,16,14256.5
2,16,9240.23
3,16,10149.4
4,16,11693.6
5,16,10729.6
6,16,7540.9
7,16,8386.54
8,16,9159.11
9,16,12898.6
10,16,12101
11,16,11241.5
12,16,12898.6
13,16,25041.2
14,16,18959.6
15,16,29599.2
16,16,28189.7
17,16,24155.4
18,16,24553.7
19,16,29865.6
0,17,7760.18
1,17,10469.7
2,17,8007.24
3,17,10345
4,17,9779.5
5,17,10398.9
6,17,13238.9
7,17,13526.6
8,17,17595.7
9,17,19781.6
10,17,18852
11,17,18865.3
12,17,21715.1
13,17,19096.9
14,17,18802.3
15,17,18508.6
16,17,16416.8
17,17,15282.9
18,17,13928.4
19,17,11170.5
0,17,14813.8
1,17,57355.8
2,17,53354.9
3,17,52147.1
4,17,39551.2
5,17,42853.7
6,17,19298.9
7,17,20943.3
8,17,66793.6
